# Step Energy(kJ/mol) AcceptanceRatio R_ee R_g
    1060     0.301070E+25      0.2491      1.4922      1.1310
    1070     0.301069E+25      0.2477      1.4655      1.1320
    1080     0.301038E+25      0.2463      1.5472      1.1234
    1090     0.300425E+25      0.2468      1.5401      1.1249
    1100     0.300079E+25      0.2455      1.4988      1.1281
    1110     0.300079E+25      0.2441      1.4978      1.1285
    1120     0.296904E+25      0.2437      1.4976      1.1282
    1130     0.296849E+25      0.2451      1.4337      1.1363
    1140     0.216175E+25      0.2439      1.4327      1.1367
    1150     0.172776E+25      0.2435      1.4328      1.1372
    1160     0.172757E+25      0.2431      1.5503      1.1413
    1170     0.172749E+25      0.2427      1.5366      1.1434
    1180     0.854719E+24      0.2441      1.4464      1.1486
    1190     0.852641E+24      0.2437      1.3975      1.1513
    1200     0.852468E+24      0.2433      1.4017      1.1558
    1210     0.852468E+24      0.2413      1.4017      1.1558
    1220     0.852468E+24      0.2402      1.3462      1.1570
    1230     0.852435E+24      0.2407      1.3294      1.1620
    1240     0.852422E+24      0.2403      1.3272      1.1636
    1250     0.852417E+24      0.2400      1.3511      1.1621
    1260     0.852410E+24      0.2405      1.3791      1.1735
    1270     0.852410E+24      0.2386      1.3791      1.1735
    1280     0.852410E+24      0.2367      1.3791      1.1735
    1290     0.846168E+24      0.2364      1.3769      1.1743
    1300     0.845597E+24      0.2362      1.3419      1.1773
    1310     0.845597E+24      0.2344      1.3419      1.1773
    1320     0.845561E+24      0.2333      1.3132      1.1811
    1330     0.845561E+24      0.2316      1.3132      1.1811
    1340     0.845561E+24      0.2299      1.3132      1.1811
    1350     0.781857E+24      0.2304      1.2522      1.1773
    1360     0.781857E+24      0.2287      1.2522      1.1773
    1370     0.781850E+24      0.2285      1.2435      1.1773
    1380     0.781850E+24      0.2275      1.1945      1.1794
    1390     0.781850E+24      0.2259      1.1945      1.1794
    1400     0.781849E+24      0.2250      1.2712      1.1864
    1410     0.780755E+24      0.2241      1.2590      1.1903
    1420     0.780755E+24      0.2232      1.2578      1.1909
    1430     0.780755E+24      0.2217      1.2578      1.1909
    1440     0.772786E+24      0.2215      1.2907      1.1930
    1450     0.772786E+24      0.2214      1.3208      1.1925
    1460     0.772786E+24      0.2205      1.3125      1.1939
    1470     0.772786E+24      0.2204      1.3491      1.1967
    1480     0.771127E+24      0.2203      1.3575      1.1947
    1490     0.771127E+24      0.2188      1.3575      1.1947
    1500     0.771126E+24      0.2180      1.3482      1.1954
    1510     0.771123E+24      0.2192      1.3612      1.2115
    1520     0.771123E+24      0.2178      1.3612      1.2115
    1530     0.767385E+24      0.2176      1.5888      1.2187
    1540     0.767385E+24      0.2162      1.5888      1.2187
    1550     0.767385E+24      0.2148      1.5888      1.2187
    1560     0.756849E+24      0.2154      1.6282      1.2300
    1570     0.752519E+24      0.2159      1.7330      1.2448
    1580     0.745063E+24      0.2165      1.8138      1.2496
    1590     0.744851E+24      0.2157      1.8376      1.2479
    1600     0.744846E+24      0.2150      1.8127      1.2504
    1610     0.737091E+24      0.2143      1.7631      1.2509
